TC1 NUMBER BIN HEX
1 6980368 11010101000001100010000 8310
2 5517055 10101000010111011111111 2EFF
3 1336159 101000110001101011111 635F
4 6750185 11001101111111111101001 FFE9
5 1771937 110110000100110100001 9A1
6 360952 1011000000111111000 81F8
7 5672561 10101101000111001110001 8E71
8 916583 11011111110001100111 FC67
9 2700138 1010010011001101101010 336A
10 9645053 100100110010101111111101 2BFD
11 1181110 100100000010110110110 5B6
12 1492185 101101100010011011001 C4D9
13 4018595 1111010101000110100011 51A3
14 7654888 11101001100110111101000 CDE8
15 7062453 11010111100001110110101 C3B5
16 2478010 1001011100111110111010 CFBA
17 6134768 10111011001101111110000 9BF0
18 8420417 100000000111110001000001 7C41
19 2917489 1011001000010001110001 8471
20 3340773 1100101111100111100101 F9E5
21 1115956 100010000011100110100 734
22 9172192 100010111111010011100000 F4E0
23 6271996 10111111011001111111100 B3FC
24 8686939 100001001000110101011011 8D5B
25 50986 1100011100101010 C72A
26 9376410 100011110001001010011010 129A
27 5962327 10110101111101001010111 FA57
28 7686891 11101010100101011101011 4AEB
29 6615183 11001001111000010001111 F08F
30 1864844 111000111010010001100 748C
31 3329962 1100101100111110101010 CFAA
32 3942794 1111000010100110001010 298A
33 2614836 1001111110011000110100 E634
34 7406772 11100010000010010110100 4B4
35 2384190 1001000110000100111110 613E
36 398347 1100001010000001011 140B
37 8698503 100001001011101010000111 BA87
38 9551696 100100011011111101010000 BF50
39 1019556 11111000111010100100 8EA4
40 1677430 110011001100001110110 9876
41 3479629 1101010001100001001101 184D
42 9309008 100011100000101101010000 B50
43 5266170 10100000101101011111010 5AFA
44 4094340 1111100111100110000100 7984
45 1754055 110101100001111000111 C3C7
46 5861132 10110010110111100001100 6F0C
47 4471329 10001000011101000100001 3A21
48 8826052 100001101010110011000100 ACC4
49 7469325 11100011111100100001101 F90D
50 1973172 111100001101110110100 1BB4
51 53145 1100111110011001 CF99
52 3897508 1110110111100010100100 78A4
53 7773386 11101101001110011001010 9CCA
54 6089829 10111001110110001100101 EC65
55 4223424 10000000111000111000000 71C0
56 9761752 100101001111001111011000 F3D8
57 7930799 11110010000001110101111 3AF
58 3597495 1101101110010010110111 E4B7
59 9302948 100011011111001110100100 F3A4
60 2288712 1000101110110001001000 EC48
61 197187 110000001001000011 243
62 5266939 10100000101110111111011 5DFB
63 221545 110110000101101001 6169
64 7957027 11110010110101000100011 6A23
65 3195361 1100001100000111100001 C1E1
66 7106269 11011000110111011011101 6EDD
67 9633312 100100101111111000100000 FE20
68 9713704 100101000011100000101000 3828
69 91925 10110011100010101 6715
70 4418686 10000110110110001111110 6C7E
71 9682250 100100111011110101001010 BD4A
72 2583824 1001110110110100010000 6D10
73 4979126 10010111111100110110110 F9B6
74 6280954 10111111101011011111010 D6FA
75 1228610 100101011111101000010 BF42
76 705518 10101100001111101110 C3EE
77 1017653 11111000011100110101 8735
78 500098 1111010000110000010 A182
79 7210727 11011100000011011100111 6E7
80 4250898 10000001101110100010010 DD12
81 4055028 1111011101111111110100 DFF4
82 2754240 1010100000011011000000 6C0
83 452999 1101110100110000111 E987
84 6831458 11010000011110101100010 3D62
85 207636 110010101100010100 2B14
86 7280635 11011110001011111111011 17FB
87 3308937 1100100111110110001001 7D89
88 4303570 10000011010101011010010 AAD2
89 8375055 11111111100101100001111 CB0F
90 1457960 101100011111100101000 3F28
91 5197625 10011110100111100111001 4F39
92 3144371 1011111111101010110011 FAB3
93 6674138 11001011101011011011010 D6DA
94 2692106 1010010001010000001010 140A
95 2276769 1000101011110110100001 BDA1
96 1940971 111011001110111101011 9DEB
97 3288264 1100100010110011001000 2CC8
98 4819803 10010011000101101011011 8B5B
99 9431005 100011111110011111011101 E7DD
100 3992019 1111001110100111010011 E9D3
101 8184782 11111001110001111001110 E3CE
102 2847975 1010110111010011100111 74E7
103 7891025 11110000110100001010001 6851
104 900082 11011011101111110010 BBF2
105 1831532 110111111001001101100 F26C
106 8428253 100000001001101011011101 9ADD
107 2905752 1011000101011010011000 5698
108 9763121 100101001111100100110001 F931
109 257890 111110111101100010 EF62
110 4699761 10001111011011001110001 B671
111 359541 1010111110001110101 7C75
112 3446150 1101001001010110000110 9586
113 4246818 10000001100110100100010 CD22
114 1848840 111000011011000001000 3608
115 938480 11100101000111110000 51F0
116 227465 110111100010001001 7889
117 3923488 1110111101111000100000 DE20
118 8915697 100010000000101011110001 AF1
119 4309094 10000011100000001100110 C066
120 3891251 1110110110000000110011 6033
121 8627956 100000111010011011110100 A6F4
122 5884613 10110011100101011000101 CAC5
123 1659318 110010101000110110110 51B6
124 1834855 110111111111101100111 FF67
125 3386751 1100111010110101111111 AD7F
126 3000166 1011011100011101100110 C766
127 9135626 100010110110011000001010 660A
128 4869260 10010100100110010001100 4C8C
129 76550 10010101100000110 2B06
130 432271 1101001100010001111 988F
131 251028 111101010010010100 D494
132 7016218 11010110000111100011010 F1A
133 6896099 11010010011100111100011 39E3
